date,on_num,off_num,total
20190101,3419948,3393505,6813453
20190102,7621668,7592334,15214002
20190103,7873692,7842521,15716213
20190104,8270345,8238936,16509281
20190105,6062294,6030041,12092335
20190106,4408718,4380548,8789266
20190107,7824428,7794744,15619172
20190108,7913162,7880220,15793382
20190109,7815405,7783069,15598474
20190110,7977300,7943858,15921158
20190111,8351322,8322218,16673540
20190112,6282189,6249935,12532124
20190113,4501053,4471430,8972483
20190114,7680436,7649995,15330431
20190115,7826713,7796883,15623596
20190116,7891108,7860667,15751775
20190117,8034764,8003544,16038308
20190118,8361638,8331206,16692844
20190119,6259796,6224923,12484719
20190120,4530960,4498963,9029923
20190121,7736189,7707825,15444014
20190122,7929541,7897433,15826974
20190123,8034871,8003785,16038656
20190124,8082710,8051559,16134269
20190125,8438603,8407563,16846166
20190126,6350557,6317588,12668145
20190127,4635486,4606559,9242045
20190128,7845049,7816369,15661418
20190129,7948890,7919983,15868873
20190130,8039829,8009463,16049292
20190131,7899350,7870708,15770058
20190201,7979109,7952743,15931852
20190202,5079486,5056721,10136207
20190203,3412440,3395496,6807936
20190204,2941955,2920885,5862840
20190205,2837335,2815479,5652814
20190206,3741895,3719637,7461532
20190207,7401179,7372794,14773973
20190208,7913111,7882112,15795223
20190209,6002458,5968028,11970486
20190210,4360767,4332473,8693240
20190211,7942263,7912704,15854967
20190212,8084200,8051460,16135660
20190213,8163495,8130267,16293762
20190214,8255961,8221527,16477488
20190215,8594706,8566747,17161453
20190216,6619046,6583366,13202412
20190217,4745767,4714947,9460714
20190218,8000117,7970291,15970408
20190219,8046652,8021191,16067843
20190220,8226686,8194659,16421345
20190221,8272500,8238287,16510787
20190222,8613525,8578734,17192259
20190223,6803807,6766849,13570656
20190224,4985414,4952226,9937640
20190225,8120066,8088780,16208846
20190226,8265465,8230301,16495766
20190227,8345186,8312840,16658026
20190228,8581221,8548654,17129875
20190301,5930573,5896024,11826597
20190302,5921798,5889802,11811600
20190303,4647568,4617237,9264805
